date,base_u_rate,1m_u_rate_pct_change,1yr_u_rate_pct_diff
1972-05-01,5.7,0.0,-3.3898305084745783
1972-06-01,5.7,0.0,-3.3898305084745783
1972-07-01,5.6,-1.7543859649122862,-6.666666666666677
1972-08-01,5.6,0.0,-8.196721311475407
1972-09-01,5.5,-1.7857142857142794,-8.333333333333337
1972-10-01,5.6,1.8181818181818077,-3.4482758620689724
1972-11-01,5.3,-5.357142857142849,-11.66666666666667
1972-12-01,5.2,-1.8867924528301772,-13.33333333333333
1973-01-01,4.9,-5.769230769230771,-15.517241379310331
1973-02-01,5.0,2.0408163265306145,-12.28070175438597
1973-03-01,4.9,-1.9999999999999907,-15.517241379310331
1973-04-01,5.0,2.0408163265306145,-12.28070175438597
1973-05-01,4.9,-1.9999999999999907,-14.035087719298245
1973-06-01,4.9,0.0,-14.035087719298245
1973-07-01,4.8,-2.0408163265306256,-14.28571428571428
1973-08-01,4.8,0.0,-14.28571428571428
1973-09-01,4.8,0.0,-12.727272727272732
1973-10-01,4.6,-4.166666666666674,-17.85714285714286
1973-11-01,4.8,4.347826086956519,-9.433962264150942
1973-12-01,4.9,2.083333333333348,-5.769230769230771
1974-01-01,5.1,4.081632653061207,4.081632653061207
1974-02-01,5.2,1.9607843137255054,4.0000000000000036
1974-03-01,5.1,-1.9230769230769384,4.081632653061207
1974-04-01,5.1,0.0,2.0000000000000018
1974-05-01,5.1,0.0,4.081632653061207
1974-06-01,5.4,5.882352941176494,10.20408163265305
1974-07-01,5.5,1.8518518518518379,14.583333333333348
1974-08-01,5.5,0.0,14.583333333333348
1974-09-01,5.9,7.272727272727275,22.916666666666675
1974-10-01,6.0,1.6949152542372836,30.434782608695656
1974-11-01,6.6,9.999999999999986,37.5
1974-12-01,7.2,9.090909090909104,46.93877551020407
1975-01-01,8.1,12.5,58.82352941176472
1975-02-01,8.1,0.0,55.769230769230745
1975-03-01,8.6,6.172839506172845,68.62745098039215
1975-04-01,8.8,2.3255813953488413,72.54901960784316
1975-05-01,9.0,2.2727272727272707,76.47058823529413
1975-06-01,8.8,-2.2222222222222143,62.962962962962976
1975-07-01,8.6,-2.272727272727282,56.363636363636346
1975-08-01,8.4,-2.3255813953488302,52.727272727272734
1975-09-01,8.4,0.0,42.3728813559322
1975-10-01,8.4,0.0,40.000000000000014
1975-11-01,8.3,-1.1904761904761862,25.75757575757578
1975-12-01,8.2,-1.2048192771084487,13.888888888888884
1976-01-01,7.9,-3.658536585365846,-2.4691358024691246
1976-02-01,7.7,-2.5316455696202556,-4.93827160493826
1976-03-01,7.6,-1.2987012987013102,-11.627906976744185
1976-04-01,7.7,1.3157894736842257,-12.5
1976-05-01,7.4,-3.8961038961038974,-17.77777777777777
1976-06-01,7.6,2.7027027027026973,-13.636363636363647
1976-07-01,7.8,2.6315789473684292,-9.302325581395344
1976-08-01,7.8,0.0,-7.142857142857151
1976-09-01,7.6,-2.564102564102566,-9.523809523809534
1976-10-01,7.7,1.3157894736842257,-8.333333333333337
1976-11-01,7.8,1.298701298701288,-6.024096385542177
1976-12-01,7.8,0.0,-4.8780487804877986
1977-01-01,7.5,-3.8461538461538436,-5.063291139240511
1977-02-01,7.6,1.3333333333333197,-1.2987012987013102
1977-03-01,7.4,-2.631578947368407,-2.631578947368407
1977-04-01,7.2,-2.7027027027027084,-6.493506493506496
1977-05-01,7.0,-2.777777777777779,-5.405405405405405
1977-06-01,7.2,2.857142857142869,-5.263157894736836
1977-07-01,6.9,-4.1666666666666625,-11.538461538461531
1977-08-01,7.0,1.4492753623188248,-10.256410256410254
1977-09-01,6.8,-2.857142857142858,-10.526315789473683
1977-10-01,6.8,0.0,-11.688311688311693
1977-11-01,6.8,0.0,-12.82051282051282
1977-12-01,6.4,-5.88235294117646,-17.948717948717942
1978-01-01,6.4,0.0,-14.66666666666666
1978-02-01,6.3,-1.562500000000011,-17.105263157894733
1978-03-01,6.3,0.0,-14.864864864864868
1978-04-01,6.1,-3.1746031746031744,-15.27777777777779
1978-05-01,6.0,-1.6393442622950727,-14.28571428571429
1978-06-01,5.9,-1.6666666666666607,-18.055555555555557
1978-07-01,6.2,5.084745762711851,-10.144927536231885
1978-08-01,5.9,-4.8387096774193505,-15.714285714285714
1978-09-01,6.0,1.6949152542372836,-11.764705882352944
